init from runs/ssl/ssl.pt []
{"epoch": 1, "loss": 0.4971024540066719, "lr": 0.0003135532623851087, "val_macro_f1": 0.036922222924714615, "val_micro_f1": 0.03840557788437991, "elapsed_min": 0.05293716192245483}
{"epoch": 2, "loss": 0.1794580741971731, "lr": 0.0008421812920683266, "val_macro_f1": 0.05597233863802879, "val_micro_f1": 0.03186943620178042, "elapsed_min": 0.0672071933746338}
{"epoch": 3, "loss": 0.09087215453386306, "lr": 0.0015637762005310427, "val_macro_f1": 0.20121364378474554, "val_micro_f1": 0.09615915998894722, "elapsed_min": 0.08156156142552694}
{"epoch": 4, "loss": 0.06691672399640083, "lr": 0.002284355975754587, "val_macro_f1": 0.3116209510161878, "val_micro_f1": 0.35353356890459364, "elapsed_min": 0.09579004844029744}
{"epoch": 5, "loss": 0.056296197213232514, "lr": 0.002810211497873341, "val_macro_f1": 0.3368619378067921, "val_micro_f1": 0.4446736103949675, "elapsed_min": 0.11008893251419068}
{"epoch": 6, "loss": 0.050418425835669044, "lr": 0.002999999746153173, "val_macro_f1": 0.3748231041980003, "val_micro_f1": 0.4943049872829812, "elapsed_min": 0.12474383115768432}
{"epoch": 7, "loss": 0.04670551110059023, "lr": 0.0029974112534110454, "val_macro_f1": 0.3885931327067302, "val_micro_f1": 0.47037773359840956, "elapsed_min": 0.13908571402231854}
{"epoch": 8, "loss": 0.0442442674562335, "lr": 0.002989756015283832, "val_macro_f1": 0.4029971229609449, "val_micro_f1": 0.5150887896284998, "elapsed_min": 0.15329442421595255}
{"epoch": 9, "loss": 0.04214071860536933, "lr": 0.0029770599346741465, "val_macro_f1": 0.5033469727576196, "val_micro_f1": 0.5166775670372792, "elapsed_min": 0.16763677597045898}
{"epoch": 10, "loss": 0.04043040242046118, "lr": 0.0029593659710999225, "val_macro_f1": 0.5242010268887212, "val_micro_f1": 0.5400186133085155, "elapsed_min": 0.18199677467346193}
{"epoch": 11, "loss": 0.039116584789007904, "lr": 0.0029367339953330035, "val_macro_f1": 0.5265586739581856, "val_micro_f1": 0.5275163326320452, "elapsed_min": 0.196393879254659}
{"epoch": 12, "loss": 0.03785451853647828, "lr": 0.002909240586815401, "val_macro_f1": 0.5347055785953665, "val_micro_f1": 0.5315013404825737, "elapsed_min": 0.21076268355051678}
{"epoch": 13, "loss": 0.03685748422518373, "lr": 0.002876978774538706, "val_macro_f1": 0.5392847215313337, "val_micro_f1": 0.5522214468481041, "elapsed_min": 0.22505255142847697}
{"epoch": 14, "loss": 0.035764182228595016, "lr": 0.0028400577222634266, "val_macro_f1": 0.5442600320681089, "val_micro_f1": 0.5663737829494182, "elapsed_min": 0.23929347594579062}
{"epoch": 15, "loss": 0.03516272436827421, "lr": 0.0027986023591433785, "val_macro_f1": 0.5458022042738284, "val_micro_f1": 0.5503080082135524, "elapsed_min": 0.25355515082677205}
{"epoch": 16, "loss": 0.03444630624726415, "lr": 0.002752752957004975, "val_macro_f1": 0.5491710675041206, "val_micro_f1": 0.5749969977182657, "elapsed_min": 0.26861488024393715}
{"epoch": 17, "loss": 0.03385654980316758, "lr": 0.0027026646557117657, "val_macro_f1": 0.5515780350911297, "val_micro_f1": 0.5733676573835712, "elapsed_min": 0.28385138511657715}
{"epoch": 18, "loss": 0.033231637347489594, "lr": 0.002648506938220249, "val_macro_f1": 0.5518769809125563, "val_micro_f1": 0.575696502667457, "elapsed_min": 0.298992657661438}
{"epoch": 19, "loss": 0.032635047398507595, "lr": 0.0025904630571031953, "val_macro_f1": 0.5491235642392535, "val_micro_f1": 0.5708195168166746, "elapsed_min": 0.3142015973726908}
{"epoch": 20, "loss": 0.03209249291568995, "lr": 0.0025287294144809474, "val_macro_f1": 0.5493543054322783, "val_micro_f1": 0.5806217491230193, "elapsed_min": 0.3290604551633199}
{"epoch": 21, "loss": 0.03176152320578694, "lr": 0.002463514897458814, "val_macro_f1": 0.5498837162008294, "val_micro_f1": 0.5888819487820113, "elapsed_min": 0.34388171434402465}
{"epoch": 22, "loss": 0.031273112483322624, "lr": 0.0023950401713192307, "val_macro_f1": 0.5497167390462971, "val_micro_f1": 0.5751052315093205, "elapsed_min": 0.3587173104286194}
{"epoch": 23, "loss": 0.03104679415002465, "lr": 0.0023235369328602896, "val_macro_f1": 0.5509821215889632, "val_micro_f1": 0.5806609547123623, "elapsed_min": 0.3735732793807983}
{"epoch": 24, "loss": 0.03061121189966798, "lr": 0.0022492471264071202, "val_macro_f1": 0.5511142544428753, "val_micro_f1": 0.5888653630589115, "elapsed_min": 0.38836241165796914}
