init from runs/ssl/ssl.pt []
{"epoch": 1, "loss": 0.4411743891239166, "lr": 0.0003135532623851087, "val_macro_f1": 0.3502858964578094, "val_micro_f1": 0.14779385388018654, "elapsed_min": 0.10340509017308554}
{"epoch": 2, "loss": 0.09948539454489946, "lr": 0.0008421812920683266, "val_macro_f1": 0.5410437957636416, "val_micro_f1": 0.626080860014022, "elapsed_min": 0.13763796885808308}
{"epoch": 3, "loss": 0.041639340482652186, "lr": 0.0015637762005310427, "val_macro_f1": 0.6053555397109529, "val_micro_f1": 0.5839940797124431, "elapsed_min": 0.1698513150215149}
{"epoch": 4, "loss": 0.03017558589577675, "lr": 0.002284355975754587, "val_macro_f1": 0.5660431179813487, "val_micro_f1": 0.5627740948495666, "elapsed_min": 0.20106889406840006}
{"epoch": 5, "loss": 0.024422632614150643, "lr": 0.002810211497873341, "val_macro_f1": 0.7172036275929672, "val_micro_f1": 0.7494134209291412, "elapsed_min": 0.23328232765197754}
{"epoch": 6, "loss": 0.020920190680772065, "lr": 0.002999999746153173, "val_macro_f1": 0.6683204567709569, "val_micro_f1": 0.7083926031294452, "elapsed_min": 0.2665409247080485}
{"epoch": 7, "loss": 0.01869983627460897, "lr": 0.0029974112534110454, "val_macro_f1": 0.5690772683982015, "val_micro_f1": 0.6768346043255408, "elapsed_min": 0.29706037839253746}
{"epoch": 8, "loss": 0.016304047042503954, "lr": 0.002989756015283832, "val_macro_f1": 0.6952320056883046, "val_micro_f1": 0.7710338021218851, "elapsed_min": 0.3280262271563212}
{"epoch": 9, "loss": 0.014877442372962832, "lr": 0.0029770599346741465, "val_macro_f1": 0.7110393327004776, "val_micro_f1": 0.7807418699186992, "elapsed_min": 0.35912474791208904}
{"epoch": 10, "loss": 0.012757638660259545, "lr": 0.0029593659710999225, "val_macro_f1": 0.5429756127942549, "val_micro_f1": 0.4598006644518273, "elapsed_min": 0.3905128002166748}
{"epoch": 11, "loss": 0.011893234429880977, "lr": 0.0029367339953330035, "val_macro_f1": 0.6463918976130664, "val_micro_f1": 0.5849686847599165, "elapsed_min": 0.42147982915242516}
{"epoch": 12, "loss": 0.010057365775574, "lr": 0.002909240586815401, "val_macro_f1": 0.7097709600555144, "val_micro_f1": 0.7945627083867658, "elapsed_min": 0.45273597240448}
{"epoch": 13, "loss": 0.010416446009185166, "lr": 0.002876978774538706, "val_macro_f1": 0.7577218419042335, "val_micro_f1": 0.8258281573498966, "elapsed_min": 0.48412243922551473}
{"epoch": 14, "loss": 0.007950208857655525, "lr": 0.0028400577222634266, "val_macro_f1": 0.47802830466843543, "val_micro_f1": 0.3102942040049328, "elapsed_min": 0.5164963126182556}
{"epoch": 15, "loss": 0.006731332829222083, "lr": 0.0027986023591433785, "val_macro_f1": 0.7650131921667609, "val_micro_f1": 0.8115412710007305, "elapsed_min": 0.549684468905131}
{"epoch": 16, "loss": 0.005578379929065704, "lr": 0.002752752957004975, "val_macro_f1": 0.7407149777547484, "val_micro_f1": 0.8178988326848249, "elapsed_min": 0.5812648216883342}
{"epoch": 17, "loss": 0.005117371447850019, "lr": 0.0027026646557117657, "val_macro_f1": 0.6936722124340171, "val_micro_f1": 0.7595607724346838, "elapsed_min": 0.6140456000963846}
{"epoch": 18, "loss": 0.0043709917378146204, "lr": 0.002648506938220249, "val_macro_f1": 0.7378996542085284, "val_micro_f1": 0.8057626690256541, "elapsed_min": 0.6466285983721415}
{"epoch": 19, "loss": 0.0039397059241309765, "lr": 0.0025904630571031953, "val_macro_f1": 0.7605251754786941, "val_micro_f1": 0.7866747425802544, "elapsed_min": 0.6777163465817769}
{"epoch": 20, "loss": 0.003195370999164879, "lr": 0.0025287294144809474, "val_macro_f1": 0.7573165875400648, "val_micro_f1": 0.8334401846390563, "elapsed_min": 0.7090467611948649}
{"epoch": 21, "loss": 0.0027123960212338716, "lr": 0.002463514897458814, "val_macro_f1": 0.7490135369721348, "val_micro_f1": 0.81474888747616, "elapsed_min": 0.741966982682546}
{"epoch": 22, "loss": 0.0019920324842678384, "lr": 0.0023950401713192307, "val_macro_f1": 0.7516459750427283, "val_micro_f1": 0.8157693289104364, "elapsed_min": 0.7726373473803202}
{"epoch": 23, "loss": 0.0028884224069770426, "lr": 0.0023235369328602896, "val_macro_f1": 0.7837348102242991, "val_micro_f1": 0.8402246043899949, "elapsed_min": 0.8034074425697326}
{"epoch": 24, "loss": 0.0019432986732863355, "lr": 0.0022492471264071202, "val_macro_f1": 0.7644089879774686, "val_micro_f1": 0.826530612244898, "elapsed_min": 0.8354914744695028}
{"epoch": 25, "loss": 0.0012762328950338996, "lr": 0.002172422125148875, "val_macro_f1": 0.77954943019841, "val_micro_f1": 0.8268668108383157, "elapsed_min": 0.8675802111625671}
{"epoch": 26, "loss": 0.0005561804678291082, "lr": 0.002093321880571432, "val_macro_f1": 0.7880653326630478, "val_micro_f1": 0.835436518156065, "elapsed_min": 0.898501439889272}
{"epoch": 27, "loss": 0.0004437730937206652, "lr": 0.002012214042863849, "val_macro_f1": 0.7926100751045646, "val_micro_f1": 0.8438011327879169, "elapsed_min": 0.9310554941495259}
{"epoch": 28, "loss": 0.0004276467431918718, "lr": 0.0019293730552748477, "val_macro_f1": 0.7871763548794468, "val_micro_f1": 0.8394569684892265, "elapsed_min": 0.9624152898788452}
{"epoch": 29, "loss": 0.00016437083319033265, "lr": 0.0018450792254837336, "val_macro_f1": 0.7870685746369261, "val_micro_f1": 0.8455947979089633, "elapsed_min": 0.9952310601870219}
{"epoch": 30, "loss": 0.00015737454112240811, "lr": 0.0017596177771279362, "val_macro_f1": 0.7906922630717591, "val_micro_f1": 0.841056302939711, "elapsed_min": 1.0264278809229532}
